name,trigger_time,ra,dec,error_radius
210901A,2021-09-01 15:04:36,95.224,-76.942,1.9
210827A,2021-08-27 09:59:24.34,174.9181,55.7858,4
210824A,2021-08-24 04:10:01,232.132,11.135,3
210822A,2021-08-22 09:18:18,304.461,5.265,1.0
210820A,2021-08-20 17:38:00,20.622,4.642,3.4
210818A,2021-08-18 01:02:08,148.949,-87.029,1.0
210807C,2021-08-07 22:57:08,143.540,-51.409,1.0
210807A,2021-08-07 10:03:40,76.666,58.257,1.5
210731A,2021-07-31 22:21:08,300.311,-28.056,1.7
210730A,2021-07-30 04:57:29,149.570,69.703,1.0
210726A,2021-07-26 19:19:03,193.333,19.211,2.6
210725B,2021-07-25 12:00:48,192.914,17.130,2.7
210725A,2021-07-25 03:47:02,215.381,-1.177,2.3
210724A,2021-07-24 20:14:09,227.425,-6.279,1.9
210723A,2021-07-23 14:46:10,121.723,-32.893,1.0
210722A,2021-07-22 20:54:42,27.031,-6.347,1.2
210712A,2021-07-12 09:43:11,97.322,-35.376,1.7
210708B,2021-07-08 13:23:24,142.594,14.523,2.5
210708A,2021-07-08 02:25:37,173.759,-49.164,2.2
210706A,2021-07-06 08:17:49.9,312.0124,13.3079,5
210702A,2021-07-02 19:07:13,168.570,-36.741,1.5
210626A,2021-06-26 08:16:15.9,221.6199,-1.1512,5
210622A,2021-06-22 01:32:35.9,233.117,-26.213,2.5
210619B,2021-06-19 23:59:25,319.718,33.85,1.0
210618A,2021-06-18 01:43:37,235.763,46.072,2.0
210610B,2021-06-10 19:51:27,243.929,14.398,1.0
210610A,2021-06-10 15:03:43,204.284,14.476,1.7
210606A,2021-06-06 03:56:02,170.904,0.718,4
210605B,2021-06-05 14:55:58,15.732,-6.467,5
210527A,2021-05-27 07:07:48,172.346,31.627,1.8
210517A,2021-05-17 05:28:01,358.19,-39.104,2.0
210515C,2021-05-15 20:02:01,1.106,-14.972,2.0
210514A,2021-05-14 18:23:47,2.947,-21.898,1.0
210509A,2021-05-09 14:32:20,350.363,6.65,1.5
210504A,2021-05-04 13:54:53,222.379,-30.557,2.1
210430A,2021-04-30 10:42:10,57.185,45.08,1.7
210422A,2021-04-22 17:47:10,21.077,42.1,2.1
210421B,2021-04-21 10:54:44,270.817,56.828,5
210421A,2021-04-21 00:27:30,104.882,4.928,1.2
210420B,2021-04-20 18:34:37,254.313,42.558,2.1
210419C,2021-04-19 23:27:49,212.969,36.011,2.1
210419A,2021-04-19 06:53:41,86.912,-65.452,2.7
210413B,2021-04-13 23:46:52.45,182.558,55.965,3
210411C,2021-04-11 15:05:51,296.601,-39.399,1.0
210410A,2021-04-10 00:53:16,269.741,45.359,1.0
210403A,2021-04-03 08:27:13,2.813,-33.024,2.6
210323B,2021-03-23 12:03:33,259.664,15.677,6
210323A,2021-03-23 22:02:18,317.945,25.352,1.4
210321A,2021-03-21 07:13:51,87.887,70.109,1.6
210318B,2021-03-18 03:08:33,264.228,-35.823,1.0
210318A,2021-03-18 03:54:31,33.892,-37.755,2.9
210308A,2021-03-08 06:37:56,67.083,37.429,1.0
210307A,2021-03-07 08:42:38,119.244,-66.965,2.1
210306B,2021-03-06 09:32:14,331.813,10.152,1.9
210306A,2021-03-06 03:53:57,129.964,60.203,1.0
210305A,2021-03-05 19:03:04,319.808,34.548,1.0
210226A,2021-02-26 04:43:57,124.153,57.585,1.5
210222B,2021-02-22 22:37:26,154.631,-14.946,2.0
210218A,2021-02-18 13:35:19,47.318,35.322,1.4
210217A,2021-02-17 23:25:42,97.578,68.715,1.4
210212A,2021-02-12 04:25:18,72.249,7.215,1.9
210211A,2021-02-11 08:43:18,269.408,-46.27,1.4
210210A,2021-02-10 02:00:27,262.764,14.657,1.0
210209A,2021-02-09 21:39:44,328.097,43.545,1.6
210207B,2021-02-07 21:52:08,270.614,53.7,1.4
210205A,2021-02-05 11:11:17,347.264,56.311,2.1
210119A,2021-01-19 02:54:09,282.822,-61.767,1.5
210112A,2021-01-12 01:37:03,219.005,33.058,1.2
210104B,2021-01-04 21:10:10,53.561,37.951,1.7
210104A,2021-01-04 11:26:59,103.771,64.675,1.0
210102C,2021-01-02 20:38:11,235.747,-37.231,1.0
201229A,2020-12-29 10:59:30,210.692,48.209,2.6
201228B,2020-12-28 15:21:45,35.594,56.015,3
201223A,2020-12-23 17:58:26,132.735,71.176,1.4
201221D,2020-12-21 23:06:34,171.055,42.152,1.3
201221A,2020-12-21 07:09:01,214.488,-45.406,1.6
201216C,2020-12-16 23:07:31,16.364,16.538,1.0
201216A,2020-12-16 19:00:31,201.4872,36.3116,3
201214B,2020-12-14 16:07:46,187.971,9.1031,2
201209A,2020-12-09 05:44:52,23.096,-1.762,1.1
201203A,2020-12-03 06:52:27,38.055,-26.505,1.9
201128B,2020-11-28 17:54:11,339.354,-49.246,5
201128A,2020-11-28 06:27:58,223.091,26.716,2.4
201105A,2020-11-05 05:31:10,245.61,12.734,1.0
201104B,2020-11-04 17:33:46,5.215,7.834,1.0
201029A,2020-10-29 20:19:50,229.607,44.473,2.0
201027A,2020-10-27 01:07:44,155.954,-5.499,1.9
201026A,2020-10-26 22:37:34,196.696,83.807,1.2
201024A,2020-10-24 02:48:59,125.959,3.357,1.6
201021C,2020-10-21 20:27:18,12.503,-55.862,1.3
201020A,2020-10-20 05:47:26,261.239,31.428,1.2
201017A,2020-10-17 09:46:31,36.587,66.663,2.3
201015A,2020-10-15 22:50:13,354.31,53.446,2.9
201014A,2020-10-14 22:48:38,20.834,27.722,2.5
201013A,2020-10-13 03:46:30,107.392,57.031,1.0
201008A,2020-10-08 10:37:36,161.744,46.101,5
201006A,2020-10-06 01:17:52,61.917,65.148,2.1
201001A,2020-10-01 09:58:51,110.05,-2.213,1.9
200925B,2020-09-25 21:50:37,246.892,78.393,1.2
200922A,2020-09-22 12:06:46,296.954,-55.199,1.0
200919A,2020-09-19 01:52:20,168.899,32.456,1.3
200917A,2020-09-17 03:52:28,235.742,-4.695,2.0
200909B,2020-09-09 23:17:10,175.171,-31.199,1.4
200907B,2020-09-07 18:51:11,89.019,6.905,1.8
200906A,2020-09-06 13:11:04,272.284,67.887,1.4
200903A,2020-09-03 00:44:22,164.313,50.488,1.0
200901B,2020-09-01 07:09:26,217.86,-38.704,3.0
200901A,2020-09-01 03:47:31,61.759,-59.901,1.1
200829A,2020-08-29 13:59:34,251.136,72.363,1.8
200819A,2020-08-19 15:43:52,21.527,63.061,2.1
200809B,2020-08-09 15:41:27,15.9406,-73.8459,4
200806A,2020-08-06 15:28:49,52.933,37.076,1.0
200729A,2020-07-29 19:38:05,184.36,45.571,2.3
200716C,2020-07-16 22:57:41,196.011,29.636,1.0
200716A,2020-07-16 01:26:37.76,139.348,-16.712,5
200714E,2020-07-14 18:35:05,196.8656,-51.6403,5
200713A,2020-07-13 11:42:54,76.941,-32.846,2.8
200711A,2020-07-11 11:04:36,285.975,-0.134,1.4
200701A,2020-07-01 12:46:59,123.563,-14.553,1.7
200630A,2020-06-30 01:49:34,91.389,-60.779,1.9
200623A,2020-06-23 03:18:00,242.0952,53.4678,4
200612A,2020-06-12 04:39:37,302.691,-45.354,1.5
200608A,2020-06-08 17:28:38,309.628,-31.194,2.3
200529A,2020-05-29 00:56:35,238.756,-11.076,1.2
200528A,2020-05-28 10:27:23,176.637,58.185,1.0
200522A,2020-05-22 11:41:34,5.668,-0.264,1.6
200519A,2020-05-19 11:20:23,255.319,-30.393,1.0
200512A,2020-05-12 20:33:15,7.417,-2.217,1.5
200509A,2020-05-09 06:47:17,116.415,-4.634,1.7
200425A,2020-04-25 00:16:21,85.217,-13.399,2.0
200416A,2020-04-16 07:05:17,335.691,-7.525,1.4
200411A,2020-04-11 04:29:02,47.686,-52.32,1.6
200410A,2020-04-10 02:25:10,299.644,51.745,2.9
200409A,2020-04-09 03:19:59,60.555,-50.243,2.7
200324A,2020-03-24 16:39:07,222.682,35.931,1.1
200306C,2020-03-06 22:50:39,198.577,11.263,1.3
200306A,2020-03-06 00:19:40,101.114,-62.01,1.0
200303A,2020-03-03 02:34:57,212.695,51.358,1.0
200228B,2020-02-28 11:14:41,252.007,16.964,2.5
200227A,2020-02-27 07:20:08,56.433,9.489,1.0
200224A,2020-02-24 03:24:49,248.743,41.666,3.5
200219A,2020-02-19 07:36:49,342.595,-59.101,2.4
200216B,2020-02-16 13:32:33,160.452,19.468,1.0
200215A,2020-02-15 14:39:31,34.1,12.775,1.0
200205B,2020-02-05 19:21:43,107.76,-56.488,1.8
200131A,2020-01-31 22:41:15,3.067,51.121,1.2
200127A,2020-01-27 14:44:31,295.206,44.934,2.4
200125A,2020-01-25 11:31:39,228.069,-8.142,1.8
200122A,2020-01-22 01:41:00,210.01,27.548,1.0
200115A,2020-01-15 11:50:23,56.453,5.607,1.1
200109A,2020-01-09 01:46:16,307.116,52.988,1.2
200107B,2020-01-07 19:26:28,107.067,-83.716,1.2
191228A,2019-12-28 00:01:19,5.341,-8.65,2.4
191227A,2019-12-27 01:39:37,319.172,-16.717,1.2
191221B,2019-12-21 20:39:13,154.831,-38.152,1.1
191220A,2019-12-20 13:29:37,281.335,26.679,3.0
191218A,2019-12-18 02:42:43,301.07,-40.277,1.4
191213A,2019-12-13 04:06:23,224.53,-9.745,2.2
191130A,2019-11-30 13:05:02,133.137,5.017,1.7
191123A,2019-11-23 10:38:44,215.289,22.823,2.2
191122A,2019-11-22 13:32:56,54.29,-32.176,1.0
191106A,2019-11-06 14:15:23,269.356,46.046,1.7
191101A,2019-11-01 21:08:03,251.845,43.74,1.7
191031D,2019-10-31 21:23:31,283.269,47.645,1.4
191031C,2019-10-31 18:43:54,115.88,-62.322,1.3
191031A,2019-10-31 00:36:33,233.49,6.109,2.0
191029A,2019-10-29 11:15:20,352.14,-40.464,1.8
191024A,2019-10-24 04:42:52,10.129,-67.138,1.3
191019A,2019-10-19 15:12:33,340.035,-17.34,1.0
191017B,2019-10-17 14:36:06,245.131,-73.583,1.8
191016A,2019-10-16 04:09:00,30.268,24.508,1.5
191011A,2019-10-11 04:35:56,44.729,-27.853,1.5
191004B,2019-10-04 21:33:41,49.2,-39.637,1.0
191004A,2019-10-04 18:07:02,31.716,-36.932,1.1
191001B,2019-10-01 17:19:20,86.423,-15.88,3.6
190926A,2019-09-26 09:52:16,100.616,59.531,2.3
190829A,2019-08-29 19:56:44.60,44.542,-8.958,1.9
190828B,2019-08-28 12:59:59.42,251.838,27.287,1.0
190824A,2019-08-24 14:46:39,215.323,-41.9,1.7
190821A,2019-08-21 17:10:03,250.07,-34.027,1.3
190816A,2019-08-16 14:42:24,341.183,-29.745,1.7
190727B,2019-07-27 20:18:17,126.5,-13.272,1.0
190719C,2019-07-19 14:58:34,240.208,13.005,1.2
190718A,2019-07-18 04:41:15,336.605,-41.184,2.4
190706B,2019-07-06 12:40:50,107.443,-29.575,2.2
190701A,2019-07-01 09:45:20,28.131,58.899,2.4
190630C,2019-06-30 23:52:59,293.89,-32.759,1.1
190630B,2019-06-30 06:02:08,223.729,41.528,2.0
190627A,2019-06-27 11:18:31,244.843,-5.302,2.7
190613B,2019-06-13 10:47:02,305.434,-4.655,1.9
190613A,2019-06-13 04:07:18,182.552,67.244,2.2
190611A,2019-06-11 17:49:01,324.689,-56.07,3.0
190610A,2019-06-10 11:27:45,46.244,-7.66,1.9
190604B,2019-06-04 14:57:15,297.546,-32.975,1.0
190519A,2019-05-19 07:25:39,114.758,-38.813,1.7
190515B,2019-05-15 16:04:21,98.826,52.322,1.5
190512A,2019-05-12 14:40:09,82.402,-7.582,2.9
190511A,2019-05-11 07:14:48,126.443,-20.252,1.5
190427A,2019-04-27 04:34:15,280.217,40.304,2.4
190424A,2019-04-24 10:00:43,48.693,20.239,1.4
190422A,2019-04-22 22:55:29,182.126,-60.167,2.4
190331A,2019-03-31 02:14:37.50,28.573,27.635,1.4
190326A,2019-03-26 07:35:28,341.652,39.914,1.6
190324A,2019-03-24 22:44:01,49.603,-47.212,1.0
190320A,2019-03-20 01:14:36,117.824,-45.876,1.9
190311A,2019-03-11 14:23:33,212.067,53.486,1.3
190220A,2019-02-20 02:59:34,330.128,-76.669,1.3
190219A,2019-02-19 19:38:58,189.686,76.606,1.6
190211A,2019-02-11 16:54:44,196.652,41.976,2.3
190204A,2019-02-04 05:46:01,351.491,54.884,1.0
190203A,2019-02-03 15:44:08,22.603,55.736,1.0
190202A,2019-02-02 01:39:30,166.506,9.393,1.9
190123A,2019-01-23 12:19:13,53.175,45.505,1.7
190114C,2019-01-14 20:57:03,54.503,-26.938,1.0
190114B,2019-01-14 19:31:12,174.868,18.882,2.3
190114A,2019-01-14 03:10:49,65.543,2.196,1.7
190110A,2019-01-10 17:24:48,276.939,-53.643,1.0
190109B,2019-01-09 11:56:09,55.563,63.592,1.4
190109A,2019-01-09 05:12:41,33.213,38.111,1.0
190106A,2019-01-06 13:34:44,29.877,23.839,1.0
190103B,2019-01-03 21:03:51,212.561,35.254,1.3
